incident_id,status,created,configuration_item,description_and_note
INC0042011,Closed,2026-03-29 19:50:00,CGP production,"Analysis task aborted for run 250329_M02158_0208_000000000-KLMNO: NFS mount /mnt/seq/runs went stale during read (Stale file handle). Root cause: NFS server failover. Resolution: remounted the share on the CGP host and rescheduled pending runs; analysis completed. Added NFS health probe to the watcher loop."
INC0042012,Closed,2026-04-01 07:30:00,Hematologic Sequencing Assay production,"Hematologic NGS panel demultiplexing produced low %>=Q30 (78%) on run 250401_NB552010_0044_AHE5BGXM. Root cause: under-clustering due to low library loading concentration. Resolution: lab re-pooled and re-loaded at corrected concentration; rerun passed Q30 spec."
INC0042013,Closed,2026-04-03 10:15:00,CGP production,"High undetermined reads (9.8%) on run 250403_A00521_0160_BHF7LMDSXY exceeding 8% guideline. Root cause: index collision from incorrect UPxx assignment in SampleSheet. Resolution: corrected unique index primer assignments per TSO 500 low-plex diversity guidance and re-demultiplexed; undetermined dropped to 3.6%."
INC0042014,Closed,2026-04-05 09:00:00,CGP production,"Sample CGP-0007 median exon coverage 412x below 500x guideline (delta Cq 5.4). Root cause: low-quality FFPE DNA input. Resolution: per TSO 500 Reference Guide (delta Cq <=5), lab repeated library prep with increased DNA input; re-sequenced sample met coverage spec."
INC0042015,Closed,2026-04-08 12:40:00,CGP production,"RNA library DV200 18% below 20% spec for sample CGP-0033-RNA, fusion calling unreliable. Resolution: requested RNA re-extraction; degraded sample rejected per TSO 500 Reference Guide DV200 >=20% criterion and re-prepped from a higher-quality scroll."
INC0042016,Closed,2026-04-10 15:25:00,CGP production,"Run 250410_NB551234_0108_AHG6BGXM analysis succeeded but remained in PENDING_REPORT; report not visible in UI. Root cause: reporting tool received result (nginx 200) but report-build worker queue stalled. Resolution: restarted the report-build worker; report regenerated for the existing result without resend."
INC0042017,Closed,2026-04-12 08:20:00,CGP production,"DRAGEN FPGA board 1 went offline mid-run; alignment throughput dropped. Root cause: accelerator driver crash. Resolution: reloaded the DRAGEN FPGA driver and restarted the host agent; both boards back online, run resumed."
INC0042018,Closed,2026-04-14 09:35:00,CGP production,"Watcher launched analysis for run 250414_M02158_0210_000000000-PQRST before sequencing finished; copyComplete.txt present but RTAComplete.txt absent. Resolution: aborted premature task; instrument completed transfer; reran. Confirmed the RTAComplete.txt guard from INC0042003 is now enforced."
INC0042019,Closed,2026-04-16 11:50:00,HayStack MRD production,"HayStack MRD sample tracking ID mismatch between LIMS accession and panel manifest, risk of wrong-patient baseline. Resolution: corrected the manifest mapping and re-ran reconciliation; added a pre-analysis LIMS/manifest identity check to block mismatches."
INC0042020,Closed,2026-04-18 14:05:00,CGP production,"SampleSheet parse error for run 250418_A00521_0165_BHH8LDSXY: invalid UMI adapter field. Resolution: corrected SampleSheet to the TSO 500 UMI adapter (UMI1) format for DNA libraries and re-submitted; BCL Convert succeeded."
INC0042021,Closed,2026-04-21 09:10:00,CGP production,"MSI call reported insufficient usable sites (22/130) for sample CGP-0050, result inconclusive. Root cause: low coverage over microsatellite loci. Resolution: re-sequenced sample to higher depth; MSI re-evaluated as MSI-Stable with 96 usable sites."
INC0042022,Closed,2026-04-23 16:45:00,CGP production,"TMB eligible region below threshold (0.7 Mb) for sample CGP-0061, TMB suppressed. Root cause: poor coverage uniformity from degraded FFPE. Resolution: repeated enrichment per TSO 500 protocol; eligible region recovered to 1.28 Mb and TMB reported."
INC0042023,Closed,2026-04-25 08:00:00,Hematologic Sequencing Assay production,"Hematologic panel small-variant caller producing false positives in homopolymer regions of CEBPA. Resolution: enabled homopolymer indel filter and updated the block list for known artifact positions; validated against truth set, FP rate within spec."
INC0042024,Closed,2026-04-28 10:30:00,CGP production,"RNA fusion caller returned zero calls for an entire batch on run 250428_NB551234_0114_AHJ9BGXM despite positive control. Root cause: RNA probe pool (OPR1) not applied during enrichment. Resolution: lab repeated the RNA enrichment with OPR1 per TSO 500 Reference Guide; EML4-ALK control recovered."
INC0042025,Closed,2026-04-30 13:20:00,CGP production,"CGP could not connect to nginx proxy cgp-proxy.internal:443 (connection refused) for run 250430_M02158_0214_000000000-UVWXY; no entry at proxy. Root cause: nginx restarted during a maintenance window without connection draining. Resolution: added a PreStop drain hook and readiness gating to the nginx deployment; result redelivered from the retry queue."
INC0042026,Closed,2026-05-02 09:55:00,CGP production,"HRD genomic instability score discordant with orthogonal method for sample CGP-0072. Root cause: low tumor purity. Resolution: flagged result with purity caveat and reissued; documented minimum purity guidance for HRD reporting (HRD option per TSO 500 Reference Guide)."
INC0042027,Closed,2026-05-05 11:15:00,CGP production,"Analysis output differed from validated baseline after a DRAGEN upgrade. Root cause: DRAGEN software version mismatch between nodes. Resolution: pinned all nodes to the validated DRAGEN TSO 500 version (2.5.0) and re-ran concordance check; outputs matched baseline."
INC0042028,Closed,2026-05-07 14:50:00,HayStack MRD production,"HayStack MRD ctDNA input below assay threshold; library yield insufficient. Resolution: requested additional plasma volume and re-extracted cell-free DNA; library passed input QC and MRD analysis completed."
INC0042029,Closed,2026-05-09 08:40:00,CGP production,"Cluster scheduler backlog delayed multiple CGP runs beyond TAT. Root cause: a stuck job held a large resource reservation. Resolution: killed the stuck job and rebalanced the queue; added a max-runtime watchdog to auto-kill hung stages."
INC0042030,Closed,2026-05-12 10:05:00,CGP production,"Report PDF generation failed in reporting tool for run 250512_A00521_0172_BHK2LDSXY despite nginx 200 on result delivery. Root cause: malformed combined variant JSON missing a required metrics field. Resolution: patched the metrics serializer in CGP and re-sent the result; report generated."
INC0042031,Closed,2026-05-14 15:30:00,CGP production,"Index hopping observed on NovaSeq run 250514_A00521_0173_BHL3LDSXY causing cross-sample read assignment. Resolution: switched the affected pool to unique dual indexes and re-sequenced; hopping below threshold."
INC0042032,Closed,2026-05-16 09:20:00,Hematologic Sequencing Assay production,"Hematologic panel coverage dropout in FLT3 ITD region. Root cause: GC-rich amplicon underperformance. Resolution: adjusted probe balance and re-enriched; coverage restored across FLT3."
INC0042033,Closed,2026-05-19 12:00:00,CGP production,"Annotation flagged outdated ClinVar data source (47 days old) producing stale clinical significance. Resolution: refreshed the Nirvana annotation data bundle (ClinVar, gnomAD) and re-annotated affected runs; added a monthly data-bundle update job."
INC0042034,Closed,2026-05-21 08:15:00,CGP production,"Duplicate analysis task launched for run 250521_NB551234_0120_AHM4BGXM, two tasks competing for the same output dir. Root cause: watcher fired twice after an NFS reconnect. Resolution: added a per-run lock file; killed the duplicate task and kept the first. Output integrity verified."
INC0042035,Closed,2026-05-23 16:10:00,CGP production,"Low enrichment yield across a library prep batch feeding run 250523_A00521_0178_BHN5LDSXY (<3 ng/uL post-amp). Root cause: SMB (Streptavidin Magnetic Beads) used past room-temperature equilibration with incomplete resuspension. Resolution: lab repeated enrichment following TSO 500 bead-handling guidance; libraries passed normalization input."
INC0042036,Closed,2026-05-26 09:45:00,CGP production,"UMI consensus family size abnormally low (1.4) reducing error correction for run 250526_NB551234_0122_AHP6BGXM. Root cause: over-amplification / low molecular complexity from low input. Resolution: re-prepped with increased input per guide; mean family size recovered to 4.1."
INC0042037,Closed,2026-05-28 11:30:00,HayStack MRD production,"HayStack MRD LOD baseline drift detected in QC trending. Resolution: recalibrated the assay baseline using the latest control cohort and revalidated LOD; trending returned to control limits."
INC0042038,Closed,2026-05-30 14:00:00,CGP production,"Pipeline could not write combined variant output for run 250530_A00521_0181_BHQ7LDSXY: permission denied on /mnt/results. Root cause: results directory ownership changed by a storage migration. Resolution: corrected directory ACLs for the CGP service account and re-ran the metrics stage."
INC0042039,Closed,2026-06-02 08:50:00,CGP production,"Intermittent nginx upstream timeouts (HTTP 504) on result delivery during peak batch hours. Root cause: reporting tool single replica saturated. Resolution: scaled reporting tool to 3 replicas behind the nginx upstream and increased proxy_read_timeout; 504s cleared."
INC0042040,Closed,2026-06-04 10:20:00,CGP production,"Enrichment failure traced to incorrect HYB1 thermal cycler program in the prep feeding run 250604_NB551234_0127_AHR8BGXM. Resolution: lab corrected the HYB1 program (95C 10m, stepdown, hold 57C) per TSO 500 Reference Guide and repeated first hybridization; libraries passed."
INC0042041,Closed,2026-06-06 13:40:00,Hematologic Sequencing Assay production,"Adapter-dimer contamination elevated in hematologic libraries reducing usable reads. Resolution: added an extra bead cleanup and re-quantified; adapter content within spec on rerun."
INC0042042,Closed,2026-06-09 09:05:00,CGP production,"False MSI-High call for sample CGP-0088 not reproduced on orthogonal testing. Root cause: low input inflating instability estimate. Resolution: re-sequenced at adequate input; reclassified MSI-Stable. Added low-input guardrail to MSI reporting."
INC0042043,Closed,2026-06-11 15:55:00,CGP production,"Reporting tool returned HTTP 500 during report build; nginx logged upstream 500. Root cause: reporting DB connection pool exhausted under concurrent loads. Resolution: increased DB pool size and added connection reaping; backlog of results reprocessed."
INC0042044,Closed,2026-06-14 08:30:00,CGP production,"GRCh38 reference mirror sync failed leaving a partial hash table; pre-run integrity check blocked launches. Resolution: re-synced the reference bundle from the upstream mirror and verified checksums; queued runs released. Mirror sync now checksum-gated."
INC0042045,Closed,2026-06-16 12:15:00,CGP production,"Watcher missed a completed run (250616_M02158_0220_000000000-ZABCD) for ~3 hours past copyComplete.txt. Root cause: poll interval too long after a watcher restart. Resolution: reduced poll interval and added a startup catch-up scan; run picked up and analyzed."
INC0042046,Open,2026-06-26 18:20:00,CGP production,"Report for sample_2026_0050 is missing. The report was due yesterday but is not visible in the reporting tool. I see other samples from the same run have their reports generated. Please investigate and provide an update."
INC0042047,Open,2026-06-26 23:10:00,CGP production,"I can't see report for sample_2026_0076. The report is due today"
